state,district,districthindi,season,seasonhindi,crop,crophindi,area,production
आंध्र प्रदेश (Andhra Pradesh),GUNTUR,गुंटूर,Whole Year ,पूरे साल ,Banana,केला,6340,180798
आंध्र प्रदेश (Andhra Pradesh),KURNOOL,कुरनूल,Whole Year ,पूरे साल ,Other Fresh Fruits,अन्य ताजे फल,549,948
आंध्र प्रदेश (Andhra Pradesh),KURNOOL,कुरनूल,Rabi       ,रबी ,Maize,मक्का,631,4373
आंध्र प्रदेश (Andhra Pradesh),SPSR NELLORE,एसपीएसआर नेल्लोर,Kharif     ,खरीफ ,Lemon,नींबू,12726,68720
आंध्र प्रदेश (Andhra Pradesh),KRISHNA,कृष्णा,Rabi       ,रबी ,Horse-gram,चने की दाल,201,83
आंध्र प्रदेश (Andhra Pradesh),CHITTOOR,चित्तूर,Rabi       ,रबी ,Sunflower,सूरजमुखी,1078,860
आंध्र प्रदेश (Andhra Pradesh),SRIKAKULAM,श्रीकाकुलम,Rabi       ,रबी ,Moong(Green Gram),मूंग (हरा चना),24544,7118
आंध्र प्रदेश (Andhra Pradesh),CHITTOOR,चित्तूर,Rabi       ,रबी ,Dry chillies,सूखी मिर्च,1751,3488
आंध्र प्रदेश (Andhra Pradesh),GUNTUR,गुंटूर,Kharif     ,खरीफ ,Soyabean,सोया बीन,168,305
आंध्र प्रदेश (Andhra Pradesh),KRISHNA,कृष्णा,Rabi       ,रबी ,Horse-gram,चने की दाल,375,190
आंध्र प्रदेश (Andhra Pradesh),VIZIANAGARAM,विजयनगरम,Kharif     ,खरीफ ,Bajra,बाजरे,973,683
आंध्र प्रदेश (Andhra Pradesh),KURNOOL,कुरनूल,Kharif     ,खरीफ ,Sapota,चीकू,306,2560
आंध्र प्रदेश (Andhra Pradesh),KRISHNA,कृष्णा,Kharif     ,खरीफ ,Rice,चावल,262826,980105
आंध्र प्रदेश (Andhra Pradesh),EAST GODAVARI,पूर्वी गोदावरी,Kharif     ,खरीफ ,Groundnut,मूंगफली,36,59
आंध्र प्रदेश (Andhra Pradesh),SRIKAKULAM,श्रीकाकुलम,Kharif     ,खरीफ ,Maize,मक्का,311,831
आंध्र प्रदेश (Andhra Pradesh),VIZIANAGARAM,विजयनगरम,Whole Year ,पूरे साल ,Sunflower,सूरजमुखी,41,40
आंध्र प्रदेश (Andhra Pradesh),VISAKHAPATANAM,विशाखापत्तनम,Kharif     ,खरीफ ,Groundnut,मूंगफली,1383,1481
आंध्र प्रदेश (Andhra Pradesh),KURNOOL,कुरनूल,Whole Year ,पूरे साल ,Cucumber,खीरा,399,0
आंध्र प्रदेश (Andhra Pradesh),PRAKASAM,प्रकाशम,Rabi       ,रबी ,Tobacco,तंबाकू,78761,167264
आंध्र प्रदेश (Andhra Pradesh),VIZIANAGARAM,विजयनगरम,Rabi       ,रबी ,Arhar/Tur,अरहर / तुरई,120,79
आंध्र प्रदेश (Andhra Pradesh),SRIKAKULAM,श्रीकाकुलम,Kharif     ,खरीफ ,Papaya,पपीता,45,4902
आंध्र प्रदेश (Andhra Pradesh),SRIKAKULAM,श्रीकाकुलम,Whole Year ,पूरे साल ,Tapioca,टैपिओका,189,1560
आंध्र प्रदेश (Andhra Pradesh),CHITTOOR,चित्तूर,Rabi       ,रबी ,Rice,चावल,37000,116000
आंध्र प्रदेश (Andhra Pradesh),ANANTAPUR,अनंतपुरी,Rabi       ,रबी ,Linseed,अलसी का बीज,8,2
आंध्र प्रदेश (Andhra Pradesh),KRISHNA,कृष्णा,Whole Year ,पूरे साल ,Sugarcane,गन्ना,15203,1535260
आंध्र प्रदेश (Andhra Pradesh),KADAPA,कडपा,Rabi       ,रबी ,Dry chillies,सूखी मिर्च,78,155
आंध्र प्रदेश (Andhra Pradesh),ANANTAPUR,अनंतपुरी,Whole Year ,पूरे साल ,Coconut ,नारियल ,908,3896970
आंध्र प्रदेश (Andhra Pradesh),PRAKASAM,प्रकाशम,Rabi       ,रबी ,Groundnut,मूंगफली,12200,18400
आंध्र प्रदेश (Andhra Pradesh),GUNTUR,गुंटूर,Kharif     ,खरीफ ,Sesamum,तिल,8839,3323
आंध्र प्रदेश (Andhra Pradesh),SRIKAKULAM,श्रीकाकुलम,Rabi       ,रबी ,Jowar,ज्वार,170,77
आंध्र प्रदेश (Andhra Pradesh),KURNOOL,कुरनूल,Rabi       ,रबी ,Sunflower,सूरजमुखी,120469,68788
आंध्र प्रदेश (Andhra Pradesh),PRAKASAM,प्रकाशम,Kharif     ,खरीफ ,Dry ginger,सोंठ,8,62
आंध्र प्रदेश (Andhra Pradesh),EAST GODAVARI,पूर्वी गोदावरी,Whole Year ,पूरे साल ,Beans & Mutter(Vegetable),बीन्स और मटर (सब्जी),285,1436
आंध्र प्रदेश (Andhra Pradesh),KURNOOL,कुरनूल,Whole Year ,पूरे साल ,Turmeric,हल्दी,978,7409
आंध्र प्रदेश (Andhra Pradesh),PRAKASAM,प्रकाशम,Kharif     ,खरीफ ,Gram,ग्राम,61,145
आंध्र प्रदेश (Andhra Pradesh),GUNTUR,गुंटूर,Kharif     ,खरीफ ,Jowar,ज्वार,600,200
आंध्र प्रदेश (Andhra Pradesh),CHITTOOR,चित्तूर,Kharif     ,खरीफ ,Groundnut,मूंगफली,234900,144200
आंध्र प्रदेश (Andhra Pradesh),CHITTOOR,चित्तूर,Kharif     ,खरीफ ,Small millets,छोटे बाजरा,427,131
आंध्र प्रदेश (Andhra Pradesh),EAST GODAVARI,पूर्वी गोदावरी,Kharif     ,खरीफ ,Ragi,रागी,81,82
आंध्र प्रदेश (Andhra Pradesh),VIZIANAGARAM,विजयनगरम,Rabi       ,रबी ,Bajra,बाजरे,5,5
आंध्र प्रदेश (Andhra Pradesh),VISAKHAPATANAM,विशाखापत्तनम,Rabi       ,रबी ,Onion,प्याज,110,2793
आंध्र प्रदेश (Andhra Pradesh),KURNOOL,कुरनूल,Rabi       ,रबी ,Linseed,अलसी का बीज,6,1
आंध्र प्रदेश (Andhra Pradesh),VISAKHAPATANAM,विशाखापत्तनम,Rabi       ,रबी ,Sunflower,सूरजमुखी,246,275
आंध्र प्रदेश (Andhra Pradesh),ANANTAPUR,अनंतपुरी,Whole Year ,पूरे साल ,Sweet potato,शकरकंद,25,137
अरुणाचल प्रदेश (Arunachal Pradesh),LOHIT,लोहित,Kharif     ,खरीफ ,Rice,चावल,13980,13630
अरुणाचल प्रदेश (Arunachal Pradesh),LOWER SUBANSIRI,निचला सुबनसिरी,Whole Year ,पूरे साल ,Potato,आलू,550,3898
अरुणाचल प्रदेश (Arunachal Pradesh),UPPER SUBANSIRI,अपर सुबनसिरी,Whole Year ,पूरे साल ,Oilseeds total,तिलहन कुल,1155,1444
अरुणाचल प्रदेश (Arunachal Pradesh),DIBANG VALLEY,दिबांग घाटी,Whole Year ,पूरे साल ,Oilseeds total,तिलहन कुल,4225,4647
अरुणाचल प्रदेश (Arunachal Pradesh),DIBANG VALLEY,दिबांग घाटी,Kharif     ,खरीफ ,Rice,चावल,1610,1382
अरुणाचल प्रदेश (Arunachal Pradesh),ANJAW,अंजाव,Kharif     ,खरीफ ,Rice,चावल,4085,2530
अरुणाचल प्रदेश (Arunachal Pradesh),TIRAP,तिराप,Whole Year ,पूरे साल ,Pulses total,दलहन कुल,316,300
अरुणाचल प्रदेश (Arunachal Pradesh),WEST KAMENG,पश्चिम कामेंगो,Kharif     ,खरीफ ,Rice,चावल,859,723
अरुणाचल प्रदेश (Arunachal Pradesh),UPPER SUBANSIRI,अपर सुबनसिरी,Whole Year ,पूरे साल ,Turmeric,हल्दी,20,150
अरुणाचल प्रदेश (Arunachal Pradesh),CHANGLANG,चांगलांग,Kharif     ,खरीफ ,Maize,मक्का,1460,2090
अरुणाचल प्रदेश (Arunachal Pradesh),TIRAP,तिराप,Whole Year ,पूरे साल ,Potato,आलू,50,300
अरुणाचल प्रदेश (Arunachal Pradesh),LOWER SUBANSIRI,निचला सुबनसिरी,Kharif     ,खरीफ ,Rice,चावल,8290,14358
अरुणाचल प्रदेश (Arunachal Pradesh),EAST KAMENG,पूर्व कामेंगो,Whole Year ,पूरे साल ,Potato,आलू,103,710
अरुणाचल प्रदेश (Arunachal Pradesh),PAPUM PARE,पापुम पारे,Kharif     ,खरीफ ,Small millets,छोटे बाजरा,520,635
अरुणाचल प्रदेश (Arunachal Pradesh),DIBANG VALLEY,दिबांग घाटी,Whole Year ,पूरे साल ,Dry ginger,सोंठ,2420,21780
अरुणाचल प्रदेश (Arunachal Pradesh),PAPUM PARE,पापुम पारे,Whole Year ,पूरे साल ,Potato,आलू,205,1650
अरुणाचल प्रदेश (Arunachal Pradesh),DIBANG VALLEY,दिबांग घाटी,Rabi       ,रबी ,Wheat,गेहूं,100,140
अरुणाचल प्रदेश (Arunachal Pradesh),PAPUM PARE,पापुम पारे,Whole Year ,पूरे साल ,Sugarcane,गन्ना,175,2888
असम (Assam),KAMRUP,कामरूप,Rabi       ,रबी ,Peas & beans (Pulses),मटर और बीन्स (दालें),1624,1399
असम (Assam),DARRANG,दरांग,Rabi       ,रबी ,Linseed,अलसी का बीज,835,369
असम (Assam),KARIMGANJ,करीमगंज,Autumn     ,पतझड़ ,Paddy,धान का खेत,2260,4148
असम (Assam),KAMRUP,कामरूप,Kharif     ,खरीफ ,Cotton(lint),कपास (लिंट),93,43
असम (Assam),DHUBRI,धुबरी,Rabi       ,रबी ,Blackgram,काला चना,4280,2475
असम (Assam),BAKSA,बक्सा,Rabi       ,रबी ,Ginger,अदरक,440,3075
असम (Assam),CACHAR,कछार,Whole Year ,पूरे साल ,Pineapple,अनन्नास,1550,26207
असम (Assam),KOKRAJHAR,कोकराझारी,Kharif     ,खरीफ ,Small millets,छोटे बाजरा,467,268
असम (Assam),TINSUKIA,तिनसुकिया,Rabi       ,रबी ,Linseed,अलसी का बीज,1,1
असम (Assam),SIVASAGAR,शिवसागर,Whole Year ,पूरे साल ,Arecanut,सुपारी,5930,6372
असम (Assam),DIMA HASAO,दीमा हसाओ,Whole Year ,पूरे साल ,Sweet potato,शकरकंद,45,216
असम (Assam),GOLAGHAT,गोलाघाट,Rabi       ,रबी ,Rapeseed &Mustard,रेपसीड और सरसों,3195,1985
असम (Assam),KOKRAJHAR,कोकराझारी,Kharif     ,खरीफ ,Arhar/Tur,अरहर / तुरई,273,177
असम (Assam),DHUBRI,धुबरी,Whole Year ,पूरे साल ,Banana,केला,1371,20968
असम (Assam),DHUBRI,धुबरी,Whole Year ,पूरे साल ,Turmeric,हल्दी,363,285
असम (Assam),BAKSA,बक्सा,Kharif     ,खरीफ ,Maize,मक्का,510,2351
असम (Assam),SONITPUR,सोनितपुर,Whole Year ,पूरे साल ,Turmeric,हल्दी,1013,854
असम (Assam),GOALPARA,गोलपाड़ा,Rabi       ,रबी ,Masoor,मसूर,1050,496
असम (Assam),DIMA HASAO,दीमा हसाओ,Kharif     ,खरीफ ,Small millets,छोटे बाजरा,8,4
असम (Assam),DIBRUGARH,डिब्रूगढ़,Kharif     ,खरीफ ,Cotton(lint),कपास (लिंट),30,13
असम (Assam),NAGAON,नगांव,Whole Year ,पूरे साल ,Onion,प्याज,1016,2134
असम (Assam),BARPETA,बारपेटा,Whole Year ,पूरे साल ,Banana,केला,2280,35650
असम (Assam),LAKHIMPUR,लखीमपुर,Kharif     ,खरीफ ,Mesta,मेस्टा,20,79
असम (Assam),KARIMGANJ,करीमगंज,Kharif     ,खरीफ ,Maize,मक्का,5,3
असम (Assam),DIMA HASAO,दीमा हसाओ,Whole Year ,पूरे साल ,Tobacco,तंबाकू,29,23
असम (Assam),GOLAGHAT,गोलाघाट,Rabi       ,रबी ,Other  Rabi pulses,अन्य रबी दालें,3961,2456
असम (Assam),HAILAKANDI,हैलाकांडी,Kharif     ,खरीफ ,Jute,जूट,30,328
असम (Assam),CACHAR,कछार,Whole Year ,पूरे साल ,Potato,आलू,2063,12080
असम (Assam),GOLAGHAT,गोलाघाट,Whole Year ,पूरे साल ,Tapioca,टैपिओका,8,31
असम (Assam),SONITPUR,सोनितपुर,Rabi       ,रबी ,Wheat,गेहूं,472,663
असम (Assam),KOKRAJHAR,कोकराझारी,Whole Year ,पूरे साल ,Onion,प्याज,451,1337
असम (Assam),KOKRAJHAR,कोकराझारी,Rabi       ,रबी ,Linseed,अलसी का बीज,566,280
असम (Assam),GOLAGHAT,गोलाघाट,Summer     ,ग्रीष्म ऋतु ,Paddy,धान का खेत,4555,11564
असम (Assam),DIBRUGARH,डिब्रूगढ़,Whole Year ,पूरे साल ,Potato,आलू,2500,15383
असम (Assam),KARBI ANGLONG,कार्बी एंग्लोंग,Kharif     ,खरीफ ,Mesta,मेस्टा,175,461
असम (Assam),BAKSA,बक्सा,Kharif     ,खरीफ ,Castor seed,अरंडी बीज,41,21
असम (Assam),KOKRAJHAR,कोकराझारी,Whole Year ,पूरे साल ,Sugarcane,गन्ना,196,6980
असम (Assam),TINSUKIA,तिनसुकिया,Rabi       ,रबी ,Moong(Green Gram),मूंग (हरा चना),71,28
असम (Assam),DHUBRI,धुबरी,Rabi       ,रबी ,Peas & beans (Pulses),मटर और बीन्स (दालें),369,411
असम (Assam),TINSUKIA,तिनसुकिया,Kharif     ,खरीफ ,Arhar/Tur,अरहर / तुरई,93,70
असम (Assam),DARRANG,दरांग,Whole Year ,पूरे साल ,Onion,प्याज,535,1338
असम (Assam),KOKRAJHAR,कोकराझारी,Whole Year ,पूरे साल ,Sugarcane,गन्ना,156,5647
असम (Assam),KAMRUP,कामरूप,Whole Year ,पूरे साल ,Arecanut,सुपारी,5325,2232
असम (Assam),DIMA HASAO,दीमा हसाओ,Kharif     ,खरीफ ,Castor seed,अरंडी बीज,47,29
असम (Assam),DIMA HASAO,दीमा हसाओ,Kharif     ,खरीफ ,Small millets,छोटे बाजरा,8,4
असम (Assam),DHEMAJI,धेमाजी,Kharif     ,खरीफ ,Cotton(lint),कपास (लिंट),9,4
असम (Assam),KARBI ANGLONG,कार्बी एंग्लोंग,Kharif     ,खरीफ ,Niger seed,नाइजर बीज,45,26
असम (Assam),KAMRUP METRO,कामरूप मेट्रो,Kharif     ,खरीफ ,Mesta,मेस्टा,12,58
असम (Assam),KARIMGANJ,करीमगंज,Winter     ,सर्दी ,Rice,चावल,61309,121010
असम (Assam),DHEMAJI,धेमाजी,Kharif     ,खरीफ ,Niger seed,नाइजर बीज,5,2
असम (Assam),BAKSA,बक्सा,Kharif     ,खरीफ ,Small millets,छोटे बाजरा,264,128
असम (Assam),BONGAIGAON,बोंगईगांव,Whole Year ,पूरे साल ,Dry chillies,सूखी मिर्च,818,528
असम (Assam),JORHAT,जोरहाटी,Whole Year ,पूरे साल ,Black pepper,काली मिर्च,119,148
असम (Assam),BAKSA,बक्सा,Rabi       ,रबी ,Linseed,अलसी का बीज,516,316
असम (Assam),HAILAKANDI,हैलाकांडी,Rabi       ,रबी ,Urad,उड़द,650,361
असम (Assam),DIMA HASAO,दीमा हसाओ,Kharif     ,खरीफ ,Tobacco,तंबाकू,28,22
असम (Assam),NAGAON,नगांव,Kharif     ,खरीफ ,Cotton(lint),कपास (लिंट),14,6
असम (Assam),KOKRAJHAR,कोकराझारी,Kharif     ,खरीफ ,Mesta,मेस्टा,978,5373
असम (Assam),CACHAR,कछार,Rabi       ,रबी ,Linseed,अलसी का बीज,43,20
असम (Assam),NALBARI,नलबाड़ी,Rabi       ,रबी ,Moong(Green Gram),मूंग (हरा चना),340,145
असम (Assam),NAGAON,नगांव,Kharif     ,खरीफ ,Orange,संतरा,40,503
असम (Assam),KAMRUP,कामरूप,Rabi       ,रबी ,Linseed,अलसी का बीज,771,336
असम (Assam),HAILAKANDI,हैलाकांडी,Rabi       ,रबी ,Peas & beans (Pulses),मटर और बीन्स (दालें),370,211
असम (Assam),MARIGAON,मैरीगांव,Kharif     ,खरीफ ,Castor seed,अरंडी बीज,20,4
असम (Assam),LAKHIMPUR,लखीमपुर,Rabi       ,रबी ,Moong(Green Gram),मूंग (हरा चना),518,233
असम (Assam),BONGAIGAON,बोंगईगांव,Summer     ,ग्रीष्म ऋतु ,Rice,चावल,9931,14064
असम (Assam),BONGAIGAON,बोंगईगांव,Whole Year ,पूरे साल ,Coconut ,नारियल ,661,5534000
असम (Assam),TINSUKIA,तिनसुकिया,Rabi       ,रबी ,Gram,ग्राम,6,4
असम (Assam),NAGAON,नगांव,Kharif     ,खरीफ ,Arhar/Tur,अरहर / तुरई,539,419
असम (Assam),DIMA HASAO,दीमा हसाओ,Whole Year ,पूरे साल ,Turmeric,हल्दी,254,137
असम (Assam),DIMA HASAO,दीमा हसाओ,Kharif     ,खरीफ ,Small millets,छोटे बाजरा,8,4
असम (Assam),KAMRUP,कामरूप,Kharif     ,खरीफ ,Niger seed,नाइजर बीज,431,221
असम (Assam),DARRANG,दरांग,Kharif     ,खरीफ ,Cotton(lint),कपास (लिंट),40,19
असम (Assam),KARBI ANGLONG,कार्बी एंग्लोंग,Whole Year ,पूरे साल ,Arecanut,सुपारी,1302,1310
असम (Assam),KARIMGANJ,करीमगंज,Whole Year ,पूरे साल ,Turmeric,हल्दी,275,151
असम (Assam),SIVASAGAR,शिवसागर,Winter     ,सर्दी ,Rice,चावल,97210,183026
असम (Assam),KAMRUP METRO,कामरूप मेट्रो,Rabi       ,रबी ,Wheat,गेहूं,120,146
असम (Assam),DARRANG,दरांग,Kharif     ,खरीफ ,Cotton(lint),कपास (लिंट),6,3
असम (Assam),GOLAGHAT,गोलाघाट,Kharif     ,खरीफ ,Small millets,छोटे बाजरा,43,20
असम (Assam),BONGAIGAON,बोंगईगांव,Whole Year ,पूरे साल ,Sweet potato,शकरकंद,380,1140
असम (Assam),MARIGAON,मैरीगांव,Rabi       ,रबी ,Rapeseed &Mustard,रेपसीड और सरसों,5000,1965
असम (Assam),GOLAGHAT,गोलाघाट,Kharif     ,खरीफ ,Small millets,छोटे बाजरा,57,34
असम (Assam),SIVASAGAR,शिवसागर,Whole Year ,पूरे साल ,Dry chillies,सूखी मिर्च,128,99
असम (Assam),MARIGAON,मैरीगांव,Kharif     ,खरीफ ,Cotton(lint),कपास (लिंट),10,5
असम (Assam),SIVASAGAR,शिवसागर,Kharif     ,खरीफ ,Jute,जूट,46,455
असम (Assam),BAKSA,बक्सा,Kharif     ,खरीफ ,Niger seed,नाइजर बीज,415,241
असम (Assam),BAKSA,बक्सा,Rabi       ,रबी ,Peas & beans (Pulses),मटर और बीन्स (दालें),1138,924
असम (Assam),DIMA HASAO,दीमा हसाओ,Kharif     ,खरीफ ,Small millets,छोटे बाजरा,10,5
असम (Assam),KAMRUP,कामरूप,Rabi       ,रबी ,Gram,ग्राम,222,70
असम (Assam),JORHAT,जोरहाटी,Whole Year ,पूरे साल ,Potato,आलू,2178,10986
असम (Assam),KARIMGANJ,करीमगंज,Rabi       ,रबी ,Urad,उड़द,48,28
असम (Assam),SONITPUR,सोनितपुर,Kharif     ,खरीफ ,Small millets,छोटे बाजरा,174,98
असम (Assam),MARIGAON,मैरीगांव,Kharif     ,खरीफ ,Maize,मक्का,40,16
असम (Assam),TINSUKIA,तिनसुकिया,Kharif     ,खरीफ ,Castor seed,अरंडी बीज,5,2
असम (Assam),DIBRUGARH,डिब्रूगढ़,Whole Year ,पूरे साल ,Arecanut,सुपारी,3380,2887
असम (Assam),SIVASAGAR,शिवसागर,Whole Year ,पूरे साल ,Sugarcane,गन्ना,112,4439
असम (Assam),KAMRUP,कामरूप,Whole Year ,पूरे साल ,Tobacco,तंबाकू,1,1
असम (Assam),SONITPUR,सोनितपुर,Whole Year ,पूरे साल ,Tobacco,तंबाकू,85,54
असम (Assam),DIMA HASAO,दीमा हसाओ,Whole Year ,पूरे साल ,Potato,आलू,220,1964
असम (Assam),GOLAGHAT,गोलाघाट,Whole Year ,पूरे साल ,Turmeric,हल्दी,285,86
असम (Assam),JORHAT,जोरहाटी,Kharif     ,खरीफ ,Orange,संतरा,71,912
असम (Assam),BONGAIGAON,बोंगईगांव,Whole Year ,पूरे साल ,Banana,केला,708,10238
असम (Assam),DARRANG,दरांग,Rabi       ,रबी ,Wheat,गेहूं,2917,5236
असम (Assam),SONITPUR,सोनितपुर,Autumn     ,पतझड़ ,Rice,चावल,20669,32904
असम (Assam),DHUBRI,धुबरी,Kharif     ,खरीफ ,Small millets,छोटे बाजरा,532,379
असम (Assam),KARBI ANGLONG,कार्बी एंग्लोंग,Rabi       ,रबी ,Wheat,गेहूं,1276,1712
असम (Assam),GOALPARA,गोलपाड़ा,Rabi       ,रबी ,Linseed,अलसी का बीज,355,189
असम (Assam),SIVASAGAR,शिवसागर,Kharif     ,खरीफ ,Sugarcane,गन्ना,114,4687
असम (Assam),BAKSA,बक्सा,Rabi       ,रबी ,Linseed,अलसी का बीज,673,398
असम (Assam),DHEMAJI,धेमाजी,Rabi       ,रबी ,Masoor,मसूर,550,256
असम (Assam),GOALPARA,गोलपाड़ा,Rabi       ,रबी ,Pineapple,अनन्नास,520,8021
असम (Assam),NAGAON,नगांव,Rabi       ,रबी ,Arecanut,सुपारी,4889,4753
असम (Assam),NAGAON,नगांव,Whole Year ,पूरे साल ,Tapioca,टैपिओका,20,96
असम (Assam),BARPETA,बारपेटा,Whole Year ,पूरे साल ,Potato,आलू,7256,37566
असम (Assam),DIBRUGARH,डिब्रूगढ़,Whole Year ,पूरे साल ,Sugarcane,गन्ना,44,1689
असम (Assam),BAKSA,बक्सा,Kharif     ,खरीफ ,Sesamum,तिल,509,266
असम (Assam),BARPETA,बारपेटा,Rabi       ,रबी ,Dry chillies,सूखी मिर्च,2941,3706
बिहार (Bihar),MUZAFFARPUR,मुजफ्फरपुर,Whole Year ,पूरे साल ,Sannhamp,सन्नहम्पो,3,2
बिहार (Bihar),KHAGARIA,खगरिया,Winter     ,सर्दी ,Rice,चावल,11431,12223
बिहार (Bihar),SARAN,सरनी,Whole Year ,पूरे साल ,Banana,केला,212,5135
बिहार (Bihar),SIWAN,सिवान,Whole Year ,पूरे साल ,Potato,आलू,3603,31015
बिहार (Bihar),KATIHAR,कटिहार,Rabi       ,रबी ,Gram,ग्राम,168,93
बिहार (Bihar),GAYA,गया,Autumn     ,पतझड़ ,Maize,मक्का,3244,3931
बिहार (Bihar),KHAGARIA,खगरिया,Rabi       ,रबी ,Rapeseed &Mustard,रेपसीड और सरसों,3138,3386
बिहार (Bihar),LAKHISARAI,लखीसराय,Rabi       ,रबी ,Maize,मक्का,5,18
बिहार (Bihar),KHAGARIA,खगरिया,Whole Year ,पूरे साल ,Coriander,धनिया,113,104
बिहार (Bihar),BHAGALPUR,भागलपुर,Rabi       ,रबी ,Khesari,खेसारी,1641,839
बिहार (Bihar),BANKA,बांका,Rabi       ,रबी ,Masoor,मसूर,1461,1121
बिहार (Bihar),PURBI CHAMPARAN,पूर्वी चंपारण,Kharif     ,खरीफ ,Ragi,रागी,16,6
बिहार (Bihar),PURNIA,पूर्णिया,Rabi       ,रबी ,Sunflower,सूरजमुखी,1627,2366
बिहार (Bihar),MUNGER,मुंगेर,Kharif     ,खरीफ ,Arhar/Tur,अरहर / तुरई,117,334
